x0000,y0000,x0001,y0001
5.16,4.297478565,5.16,0.0438769606,
5.2,4.301480183,5.2,0.03987556523,
5.24,4.297478565,5.24,0.03987556523,
5.28,4.297478565,5.28,0.03987556523,
5.32,4.301480183,5.32,0.03587417006,
5.36,4.301480183,5.36,0.03987556523,
5.4,4.305481801,5.4,0.03587417006,
5.44,4.301480183,5.44,0.03587417006,
5.48,4.305481801,5.48,0.03587417006,
5.52,4.305481801,5.52,0.03587417006,
5.56,4.305481801,5.56,0.03587417006,
5.6,4.305481801,5.6,0.03587417006,
5.64,4.305481801,5.64,0.03587417006,
5.68,4.305481801,5.68,0.03187277511,
5.72,4.305481801,5.72,0.03187277511,
5.76,4.305481801,5.76,0.03187277511,
5.8,4.305481801,5.8,0.03187277511,
5.84,4.309483419,5.84,0.02787138036,
5.88,4.305481801,5.88,0.03187277511,
5.92,4.309483419,5.92,0.03187277511,
5.96,4.305481801,5.96,0.03187277511,
6,4.305481801,6,0.03187277511,
6.04,4.309483419,6.04,0.03187277511,
6.08,4.305481801,6.08,0.02787138036,
6.12,4.309483419,6.12,0.02787138036,
6.16,4.309483419,6.16,0.02787138036,
6.2,4.309483419,6.2,0.02787138036,
6.24,4.313485038,6.24,0.02787138036,
6.28,4.309483419,6.28,0.02787138036,
6.32,4.309483419,6.32,0.02787138036,
6.36,4.313485038,6.36,0.02787138036,
6.4,4.309483419,6.4,0.02787138036,
6.44,4.313485038,6.44,0.02386998582,
6.48,4.313485038,6.48,0.02787138036,
6.52,4.309483419,6.52,0.02787138036,
6.56,4.313485038,6.56,0.02386998582,
6.6,4.313485038,6.6,0.02386998582,
6.64,4.313485038,6.64,0.02787138036,
6.68,4.313485038,6.68,0.02787138036,
6.72,4.313485038,6.72,0.02386998582,
6.76,4.313485038,6.76,0.02386998582,
6.8,4.313485038,6.8,0.02787138036,
6.84,4.313485038,6.84,0.02787138036,
6.88,4.313485038,6.88,0.02787138036,
6.92,4.313485038,6.92,0.02386998582,
6.96,4.313485038,6.96,0.02386998582,
7,4.317486657,7,0.02386998582,
7.04,4.313485038,7.04,0.02386998582,
7.08,4.313485038,7.08,0.02787138036,
7.12,4.313485038,7.12,0.02386998582,
7.16,4.313485038,7.16,0.02386998582,
7.2,4.317486657,7.2,0.02386998582,
7.24,4.313485038,7.24,0.02386998582,
7.28,4.313485038,7.28,0.02787138036,
7.32,4.313485038,7.32,0.02386998582,
7.36,4.313485038,7.36,0.01986859149,
7.4,4.313485038,7.4,0.02386998582,
7.44,4.317486657,7.44,0.02386998582,
7.48,4.313485038,7.48,0.02386998582,
7.52,4.313485038,7.52,0.02386998582,
7.56,4.313485038,7.56,0.02386998582,
7.6,4.313485038,7.6,0.02386998582,
7.64,4.317486657,7.64,0.02386998582,
7.68,4.317486657,7.68,0.01986859149,
7.72,4.313485038,7.72,0.02386998582,
7.76,4.317486657,7.76,0.01986859149,
7.8,4.313485038,7.8,0.01986859149,
7.84,4.313485038,7.84,0.02386998582,
7.88,4.317486657,7.88,0.02386998582,
7.92,4.313485038,7.92,0.02386998582,
7.96,4.321488276,7.96,0.02386998582,
8,4.313485038,8,0.02386998582,
8.04,4.317486657,8.04,0.01986859149,
8.08,4.317486657,8.08,0.02386998582,
8.12,4.313485038,8.12,0.02386998582,
8.16,4.317486657,8.16,0.01986859149,
8.2,4.317486657,8.2,0.01986859149,
8.24,4.313485038,8.24,0.01986859149,
8.28,4.317486657,8.28,0.02386998582,
8.32,4.317486657,8.32,0.01986859149,
8.36,4.317486657,8.36,0.02386998582,
8.4,4.317486657,8.4,0.01986859149,
8.44,4.317486657,8.44,0.01986859149,
8.48,4.317486657,8.48,0.01986859149,
8.52,4.313485038,8.52,0.01986859149,
8.56,4.317486657,8.56,0.02386998582,
8.6,4.321488276,8.6,0.01986859149,
8.64,4.317486657,8.64,0.01986859149,
8.68,4.317486657,8.68,0.02386998582,
8.72,4.321488276,8.72,0.02386998582,
8.76,4.313485038,8.76,0.02386998582,
8.8,4.317486657,8.8,0.02386998582,
8.84,4.321488276,8.84,0.01986859149,
8.88,4.317486657,8.88,0.01986859149,
8.92,4.317486657,8.92,0.01986859149,
8.96,4.317486657,8.96,0.01986859149,
9,4.317486657,9,0.01986859149,
9.04,4.317486657,9.04,0.01986859149,
9.08,4.313485038,9.08,0.01986859149,
9.12,4.317486657,9.12,0.02386998582,
9.16,4.317486657,9.16,0.01986859149,
9.2,4.317486657,9.2,0.01986859149,
9.24,4.321488276,9.24,0.01986859149,
9.28,4.317486657,9.28,0.01986859149,
9.32,4.317486657,9.32,0.01986859149,
9.36,4.321488276,9.36,0.01986859149,
9.4,4.317486657,9.4,0.01986859149,
9.44,4.321488276,9.44,0.01986859149,
9.48,4.321488276,9.48,0.01986859149,
9.52,4.317486657,9.52,0.01986859149,
9.56,4.321488276,9.56,0.01986859149,
9.6,4.317486657,9.6,0.01986859149,
9.64,4.317486657,9.64,0.01986859149,
9.68,4.321488276,9.68,0.01986859149,
9.72,4.321488276,9.72,0.01986859149,
9.76,4.321488276,9.76,0.01986859149,
9.8,4.321488276,9.8,0.01986859149,
9.84,4.317486657,9.84,0.01986859149,
9.88,4.321488276,9.88,0.01986859149,
9.92,4.321488276,9.92,0.01986859149,
9.96,4.317486657,9.96,0.01986859149,
10,4.321488276,10,0.01986859149,
